Date,Entry Price,Exit Price,Return %
2023-02-03,154.5,152.55,-1.2621359223300896
2023-05-05,173.57,175.16,0.9160569222791978
2024-05-03,183.38,189.87,3.5390991384011397
2024-06-11,207.15,213.25,2.944726043929517
2024-06-12,213.07,214.1,0.4834092082414236
